entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,settlement_utr,order_id,order_receipt,method,notes,payment_id,dispute_id,description,email,contact
pay_jEveHwusAVE3qv,payment,0,193737,198300,INR,4563,696,false,true,1785727745,1785908220,setl_QvoczAS2Bejfed,YESBR2026080582882063,order_qkqfeNdSqiY3Uv,INV/2026-27/00251,wallet,"{""note"": ""part payment 1 of 2""}",,,,riyaghosh26@example.in,9276544446
pay_a8mRVtLLCWPgEu,payment,0,799900,799900,INR,0,0,false,true,1785743184,1785908220,setl_QvoczAS2Bejfed,YESBR2026080582882063,order_hxEykCpZj6R5aD,INV/2026-27/00140,upi,,,,,karthikmenon91@example.in,9265020146
pay_mtsTpTLeAanJen,payment,0,799900,799900,INR,0,0,false,true,1785743983,1785908220,setl_QvoczAS2Bejfed,YESBR2026080582882063,order_hxEykCpZj6R5aD,INV/2026-27/00140,upi,,,,,karthikmenon91@example.in,9265020146
pay_tcfdkhcbuTSOkh,payment,0,249900,249900,INR,0,0,false,true,1785750006,1785908220,setl_QvoczAS2Bejfed,YESBR2026080582882063,order_lmMwR8mxh2BuzA,,upi,"{""note"": ""Mohd Irfan""}",,,,rohan.3434@example.net,9630766129
pay_CqTiqYt2wbuygk,payment,0,590785,604700,INR,13915,2123,false,true,1785750041,1785908220,setl_QvoczAS2Bejfed,YESBR2026080582882063,order_P7EWN1WWWurZpa,INV/2026-27/00234,wallet,,,,,siddharthban92@example.in,9424861114
pay_Vz89HoZ9zDnki7,payment,0,737700,737700,INR,0,0,false,true,1785767691,1785908220,setl_QvoczAS2Bejfed,YESBR2026080582882063,order_ZOmEPJUo09jwQO,INV/2026-27/00124,upi,,,,,salmansingh57@example.in,9493066683
pay_3KFLKnq7XrBg8C,payment,0,34036,34900,INR,864,183,false,true,1785769672,1785908220,setl_QvoczAS2Bejfed,YESBR2026080582882063,order_M9iq1cvmlyfbdc,INV/2026-27/00138,wallet,,,,,ishaanbose35@example.in,9478878384
pay_VwRgJV3WGQyi7W,payment,0,131698,134800,INR,3102,473,false,true,1785775602,1785908220,setl_QvoczAS2Bejfed,YESBR2026080582882063,order_AeGNvCr9sxtQTO,INV/2026-27/00215,card,,,,,ishaanjoshi81@example.in,9372616751
pay_fjzSgT9Vdcs6XQ,payment,0,344500,344500,INR,0,0,false,true,1785819786,1785997080,setl_mq6OgyGRFqmgQ7,YESBR2026080676519627,order_Seuk0IM1AkplyW,,upi,"{""note"": ""for invoices 254 & 255""}",,,,jayapereira42@example.in,9273167232
pay_CSXqLoivDP4SpG,payment,0,299700,299700,INR,0,0,false,true,1785822439,1785997080,setl_mq6OgyGRFqmgQ7,YESBR2026080676519627,order_WT01NjUjpUuMHw,00119,upi,,,,,ishaanbose35@example.in,9478878384
pay_FjmM7JZdWj1SBy,payment,0,141500,141500,INR,0,0,false,true,1785827701,1785997080,setl_mq6OgyGRFqmgQ7,YESBR2026080676519627,order_otZeZEgeLjmYTC,INV/2026-27/00251,upi,"{""note"": ""part 2 of 2""}",,,,riyaghosh26@example.in,9276544446
pay_sar27i79wxIUli,payment,0,62800,62800,INR,0,0,false,true,1785831647,1785997080,setl_mq6OgyGRFqmgQ7,YESBR2026080676519627,order_qxxkHQh3p6YksW,INV/2026-27/00239,upi,,,,,ganeshsen26@example.in,9057986828
pay_yX9x9Slrt58EmN,payment,0,79900,79900,INR,0,0,false,true,1785832168,1785997080,setl_mq6OgyGRFqmgQ7,YESBR2026080676519627,order_zgRqxzuyY9Erhn,,upi,"{""note"": ""home order""}",,,,aakashverma46@example.in,9026859952
pay_996G5rfDLI7jCh,payment,0,199900,199900,INR,0,0,false,true,1785839936,1785997080,setl_mq6OgyGRFqmgQ7,YESBR2026080676519627,order_s6AKsrpVfVIs1D,inv_00150,upi,,,,,kabirsaxena94@example.in,9786843353
pay_loMl53mLUUhVDT,payment,0,117800,117800,INR,0,0,false,true,1785845713,1785997080,setl_mq6OgyGRFqmgQ7,YESBR2026080676519627,order_r11B7GdF8aC3f3,,upi,"{""note"": ""Paid for Ammi's order - Fatima Sheikh""}",,,,ravi.8672@example.net,9010523843
pay_5ykYYqhXHdO2x9,payment,0,390698,399900,INR,9202,1404,false,true,1785859115,1785997080,setl_mq6OgyGRFqmgQ7,YESBR2026080676519627,order_HLS45gqIO2zVZx,00108,card,,,,,kavithatiwar68@example.in,9224704558
pay_W6T8ygpnnhcc82,payment,0,399040,407700,INR,8660,1321,false,true,1785864108,1785997080,setl_mq6OgyGRFqmgQ7,YESBR2026080676519627,order_Of0WOOsEgigYWP,,netbanking,,,,,johnshetty33@example.in,9426462889
pay_DOWiCrGdCLJMZc,payment,0,49900,49900,INR,0,0,false,true,1785899092,1786081800,setl_KZCse7L05EijeE,YESBR2026080768697435,order_DhEosO7v9vHKon,,upi,"{""note"": ""pymt agnst invc no. 223""}",,,,kabirrao12@example.in,9883873716
pay_eJ6xZGWtmeTtfo,payment,0,117354,119900,INR,2546,388,false,true,1785911932,1786081800,setl_KZCse7L05EijeE,YESBR2026080768697435,order_Tzswz26DXO4O33,INV/2026-27/00163,netbanking,,,,,ishaanmishra95@example.in,9361341252
pay_jPZ6zfKN7xVGkj,payment,0,999800,999800,INR,0,0,false,true,1785916090,1786081800,setl_KZCse7L05EijeE,YESBR2026080768697435,order_Hk7egyFWZY9Zmt,INV/2026-27/00103,upi,,,,,adityapillai28@example.in,9154728038
pay_rEHmELGjGkoewS,payment,0,524800,524800,INR,0,0,false,true,1785918865,1786081800,setl_KZCse7L05EijeE,YESBR2026080768697435,order_gwUBvwTS1zPjD3,,upi,"{""note"": ""Rahul D. - cushion covers""}",,,,ajay.6173@example.net,9184267797
pay_qhol94mJVho31q,payment,0,1057600,1057600,INR,0,0,false,true,1785933372,1786081800,setl_KZCse7L05EijeE,YESBR2026080768697435,order_HQqTFoJDoIKShV,INV/2026-27/00174,upi,,,,,aakashpandey20@example.in,9223307924
pay_nmflZSsxKKwzXH,payment,0,374700,374700,INR,0,0,false,true,1785944355,1786081800,setl_KZCse7L05EijeE,YESBR2026080768697435,order_c7Fx3gxODYfjuM,INV/2026-27/00137,upi,,,,,vivaanpai63@example.in,9183654610
pay_X7DOcZ44cc3PNr,payment,0,131698,134800,INR,3102,473,false,true,1785950019,1786081800,setl_KZCse7L05EijeE,YESBR2026080768697435,order_rOIZ7cNgqhHaBp,INV/2026-27/00149,wallet,,,,,varunmishra86@example.in,9260026751
pay_kxkQ8fva1P31Et,payment,0,781299,799700,INR,18401,2807,false,true,1785991566,1786168260,setl_iQRbSlLUcYTYZe,YESBR2026080825151338,order_g4phjFrIIhuDpk,INV/2026-27/00207,card,,,,,nehafernande18@example.in,9881817414
pay_COugnrQYxehTEE,payment,0,854700,854700,INR,0,0,false,true,1785998492,1786168260,setl_iQRbSlLUcYTYZe,YESBR2026080825151338,order_aOPZG5bPERVcIP,,upi,"{""note"": ""payment against bill 0242""}",,,,imranchandra29@example.in,9880729022
pay_0iYtJTq3tlAcub,payment,0,44800,44800,INR,0,0,false,true,1786007201,1786168260,setl_iQRbSlLUcYTYZe,YESBR2026080825151338,order_L76dFKHc0hXZAK,inv_00131,upi,,,,,nikhilsubram76@example.in,9477718341
