doc_no,doc_type,doc_date,customer_name,customer_email,customer_phone,amount,against_doc
INV/2026-27/00124,invoice,2026-08-03,Salman Singh,salmansingh57@example.in,9493066683,7377.00,
INV/2026-27/00138,invoice,2026-08-03,Ishaan Bose,ishaanbose35@example.in,9478878384,349.00,
INV/2026-27/00140,invoice,2026-08-03,Karthik Menon,karthikmenon91@example.in,9265020146,7999.00,
INV/2026-27/00215,invoice,2026-08-03,Ishaan Joshi,ishaanjoshi81@example.in,9372616751,1348.00,
INV/2026-27/00234,invoice,2026-08-03,Siddharth Banerjee,siddharthban92@example.in,9424861114,6047.00,
INV/2026-27/00251,invoice,2026-08-03,Riya Ghosh,riyaghosh26@example.in,9276544446,3398.00,
INV/2026-27/00270,invoice,2026-08-03,Irfana Begum,irfanabegum49@example.in,9330641128,2499.00,
INV/2026-27/00271,invoice,2026-08-03,Mohammed Irfan Shaikh,mohammedirfa73@example.in,9260133022,2499.00,
INV/2026-27/00273,invoice,2026-08-03,John Subramanian,johnsubraman73@example.in,9514026140,6230.50,
INV/2026-27/00108,invoice,2026-08-04,Kavitha Tiwari,kavithatiwar68@example.in,9224704558,3999.00,
INV/2026-27/00115,invoice,2026-08-04,John Shetty,johnshetty33@example.in,9426462889,4077.00,
INV/2026-27/00119,invoice,2026-08-04,Ishaan Bose,ishaanbose35@example.in,9478878384,2997.00,
INV/2026-27/00150,invoice,2026-08-04,Kabir Saxena,kabirsaxena94@example.in,9786843353,1999.00,
INV/2026-27/00218,invoice,2026-08-04,Aakash Verma,aakashverma46@example.in,9026859952,799.00,
INV/2026-27/00239,invoice,2026-08-04,Ganesh Sen,ganeshsen26@example.in,9057986828,628.00,
INV/2026-27/00254,invoice,2026-08-04,Jaya Pereira,jayapereira42@example.in,9273167232,548.00,
INV/2026-27/00255,invoice,2026-08-04,Jaya Pereira,jayapereira42@example.in,9273167232,2897.00,
INV/2026-27/00264,invoice,2026-08-04,Fatima Sheikh,fatimasheikh12@example.in,9838728322,1178.00,
INV/2026-27/00265,invoice,2026-08-04,Farah Siddiqui,farahsiddiqu90@example.in,9706294943,1178.00,
INV/2026-27/00103,invoice,2026-08-05,Aditya Pillai,adityapillai28@example.in,9154728038,9998.00,
INV/2026-27/00137,invoice,2026-08-05,Vivaan Pai,vivaanpai63@example.in,9183654610,3747.00,
INV/2026-27/00149,invoice,2026-08-05,Varun Mishra,varunmishra86@example.in,9260026751,1348.00,
INV/2026-27/00163,invoice,2026-08-05,Ishaan Mishra,ishaanmishra95@example.in,9361341252,1199.00,
INV/2026-27/00174,invoice,2026-08-05,Aakash Pandey,aakashpandey20@example.in,9223307924,10576.00,
INV/2026-27/00223,invoice,2026-08-05,Kabir Rao,kabirrao12@example.in,9883873716,499.00,
INV/2026-27/00266,invoice,2026-08-05,Rahul Deshpande,rahuldeshpan68@example.in,9238563332,5248.00,
INV/2026-27/00267,invoice,2026-08-05,Rahul Desai,rahuldesai62@example.in,9596442371,5248.00,
INV/2026-27/00107,invoice,2026-08-06,John Trivedi,johntrivedi91@example.in,9141931417,8999.00,
INV/2026-27/00131,invoice,2026-08-06,Nikhil Subramanian,nikhilsubram76@example.in,9477718341,448.00,
INV/2026-27/00206,invoice,2026-08-06,Abhishek Gupta,abhishekgupt98@example.in,9890786666,999.00,
INV/2026-27/00207,invoice,2026-08-06,Neha Fernandes,nehafernande18@example.in,9881817414,7997.00,
INV/2026-27/00233,invoice,2026-08-06,Sharma Traders,sharmatrader90@example.in,9636060710,1599.00,
INV/2026-27/00242,invoice,2026-08-06,Imran Chandra,imranchandra29@example.in,9880729022,8547.00,
CN/2026-27/00015,credit_note,2026-08-07,Ishaan Mishra,ishaanmishra95@example.in,9361341252,1199.00,INV/2026-27/00163
